clip_id,condition,severity,seed,duration_sec,avg_confidence,tokens_emitted,transcript,clean_reference
clean_01,clean,none,-1,6.0,0.9626,89,HER WHITE PAINT AND HER SCARLET SMOKESTACK THE INVERASHIOL ONE OF THE TWO SMALL STEAMERS,HER WHITE PAINT AND HER SCARLET SMOKESTACK THE INVERASHIOL ONE OF THE TWO SMALL STEAMERS
clean_01,additive_noise,medium,42,6.0,0.8858,81,HER WHITE PAINT ANHER FAIRWITH SMOKFA THE IMBERICIAL ONE OF E TWO SMALL FEAMERS W,HER WHITE PAINT AND HER SCARLET SMOKESTACK THE INVERASHIOL ONE OF THE TWO SMALL STEAMERS
clean_01,clipping,medium,42,6.0,0.9659,89,HER WHITE PAINT AND HER SCARLET SMOKESTACK THE INVERASHIEL ONE OF THE TWO SMALL STEAMERS,HER WHITE PAINT AND HER SCARLET SMOKESTACK THE INVERASHIOL ONE OF THE TWO SMALL STEAMERS
clean_01,bandwidth,medium,42,6.0,0.9589,89,HER WHITE PAINT AND HER SCARLET SMOKESTACK THE INVERASHIEL ONE OF THE TWO SMALL STEAMERS,HER WHITE PAINT AND HER SCARLET SMOKESTACK THE INVERASHIOL ONE OF THE TWO SMALL STEAMERS
clean_01,dropout,medium,42,6.0,0.962,88,HER WHITE PAINT AND HER SCARLET SMOKESTACK THE INVERASHIO ONE OF THE TWO SMALL STEAMERS,HER WHITE PAINT AND HER SCARLET SMOKESTACK THE INVERASHIOL ONE OF THE TWO SMALL STEAMERS
clean_01,reverberation,medium,42,6.0,0.951,88,HER WHITE PAINT AND HER SCARROW SMOKESTECK THE INVERSHIEL ONE OF THE TWO SMALL STEAMERS,HER WHITE PAINT AND HER SCARLET SMOKESTACK THE INVERASHIOL ONE OF THE TWO SMALL STEAMERS
clean_02,clean,none,-1,6.0,0.9687,96,THE SUMMER MONTHS PLIED UP AND DOWN THE LOCH AND INCIDENTALLY CARRIED ON COMMUNICATION BETWEEN,THE SUMMER MONTHS PLIED UP AND DOWN THE LOCH AND INCIDENTALLY CARRIED ON COMMUNICATION BETWEEN
clean_02,additive_noise,medium,42,6.0,0.9396,89,SUMMER MONTHS QUIED UP AND DOWN THE LA AND INCIDENTALLY CARRIED OUT COMMUNICATION BETEEN,THE SUMMER MONTHS PLIED UP AND DOWN THE LOCH AND INCIDENTALLY CARRIED ON COMMUNICATION BETWEEN
clean_02,clipping,medium,42,6.0,0.97,96,THE SUMMER MONTHS PLIED UP AND DOWN THE LOCH AND INCIDENTALLY CARRIED ON COMMUNICATION BETWEEN,THE SUMMER MONTHS PLIED UP AND DOWN THE LOCH AND INCIDENTALLY CARRIED ON COMMUNICATION BETWEEN
clean_02,bandwidth,medium,42,6.0,0.9699,95,THE SUMMER MONTHS PLIED UP AND DOWN THE LOC AND INCIDENTALLY CARRIED ON COMMUNICATION BETWEEN,THE SUMMER MONTHS PLIED UP AND DOWN THE LOCH AND INCIDENTALLY CARRIED ON COMMUNICATION BETWEEN
